z_id,z_lat_d,z_long_d,z_land,z_water,z_pop,z_households,z_comm,z_med_inc,z_house_unit,z_comm_miles,z_comm_miles_ph,z_carb_ton_ph,z_pov,z_per_comm
67012,37.673665,-96.54655,9.68,0.038,61,11,15,,37,333583.125,21874.303278688523,9.083968842883408,0.0,100.0
67036,37.297567,-97.876668,38.724,0.0,151,40,37,,81,879970.3524999999,23310.472913907284,9.6803819058829,31.3,61.4
68357,40.312925,-96.547756,51.75,0.509,421,153,105,56477,190,2577985.2,24493.92114014252,10.171844727684421,0.0,85.0
70301,29.808328,-90.750267,288.05,7.447,43037,16427,10759,50673,17516,2.85472712983E8,26532.770684109022,11.018538928489576,10.1,83.2
70563,30.01663,-91.710041,62.462,0.899,18502,6918,4625,61596,7495,7.667409868750001E7,16576.391457680253,6.88385004132731,7.2,87.7
73008,35.513888,-97.647993,7.795,0.575,19800,7774,4950,42296,9009,3.09962425255E7,6261.867176868686,2.6004305420949545,12.2,80.4
73073,36.151761,-97.41561,115.791,0.184,541,266,135,58125,259,3621194.4375000005,26774.080868761557,11.118750312181495,9.1,86.7
73456,34.124547,-97.645662,255.264,1.435,2082,773,520,36420,1065,1.66252957E7,31941.00999039385,13.264474569375244,16.5,85.0
74063,36.150767,-96.19959,135.826,7.706,29808,11665,7452,53472,12632,7.378635060000001E7,9901.550000000001,4.11191938551402,7.7,85.2
75032,32.851681,-96.43617,51.311,8.37,27986,10548,6996,95169,9850,1.42971637755E8,20434.73704780962,8.486145240368417,5.3,81.5
75448,33.316269,-95.788968,28.347,6.174,655,199,163,70972,300,4848289.441,29607.87444885496,12.29556916948477,0.0,94.4
77092,29.830024,-95.474409,7.616,0.016,33745,13294,8436,37085,14870,5.06227075215E7,6000.617279182101,2.4919385869201562,27.1,75.4
77467,29.201173,-96.101539,24.631,0.013,57,32,14,,33,417000.34599999996,29263.182175438593,12.152425233323497,100.0,100.0
77575,30.075658,-94.733441,239.479,6.651,15949,5725,3987,48970,6472,9.8887625679E7,24800.959478086403,10.299351723446444,9.4,81.6
78052,29.203679,-98.776694,37.913,0.11,6388,2083,1597,65542,2281,2.75376483155E7,17243.3615,7.1608296098364494,10.5,78.2
78726,30.430749,-97.840085,10.87,0.013,13122,5237,3280,70664,5910,3.8056685035500005E7,11600.879449931414,4.817617554744883,3.9,75.4
83233,42.132912,-111.237351,28.668,0.105,109,15,27,,45,827669.2185,30373.182330275227,12.613386512577383,,
83716,43.546065,-115.944475,516.137,5.616,14523,5958,3630,83479,6174,6.29975297735E7,17351.106458307513,7.205573976400883,3.0,81.4
85295,33.303148,-111.740678,12.64,0.011,38332,13525,9583,86442,13857,1.4481890432750002E8,15112.063479860171,6.275743371285858,3.8,81.9
85619,32.407525,-110.73315,203.109,0.0,50,32,12,,388,209116.26,16729.3008,6.947350290168226,0.0,100.0
87511,36.105695,-105.930245,55.308,0.072,2747,797,686,40068,1116,1.6848804154000003E7,24534.115986894798,10.188536858669819,8.0,78.4
90501,33.833744,-118.314022,5.624,0.039,43180,14218,10795,61536,15364,1.6111297981099996E8,14924.778120518755,6.197967437245336,13.3,78.6
92007,33.02325,-117.274923,2.444,0.453,10429,4516,2607,98935,4765,3.45161501635E7,13238.527246524116,5.497700543918684,2.8,80.8
92364,35.34042,-115.426224,514.166,0.0,90,17,22,,100,688456.912,30598.084977777777,12.706784168107998,0.0,40.0
92841,33.786846,-117.98202,4.481,0.0,32845,9263,8211,51608,9451,1.1253166266300002E8,13704.57149191658,5.691239572367414,18.8,79.1
93268,35.162393,-119.425116,41.946,0.0,16897,5507,4224,48270,6040,7.66704834695E7,18150.081900810797,7.537372796846055,20.6,71.6
95638,38.313448,-121.123886,78.691,0.587,2255,712,563,97813,766,1.1582946563000001E7,20546.24667494457,8.532453000010861,3.9,82.7
96155,38.747069,-120.088361,37.043,0.029,8,0,2,,88,51528.449,25764.2245,10.699376781845796,,
3911,43.142223,-70.626355,0.348,1.001,250,78,62,,285,1213610.6375,19417.7702,8.063818867635515,0.0,0.0
6160,41.766596,-72.691126,0.054,0.0,0,0,0,,0,0.0,,,,
8012,39.783815,-75.056068,14.942,0.211,38992,14861,9748,70435,15639,1.2743686117850001E8,13073.128967839559,5.429013884915429,6.1,85.2
8865,40.708223,-75.147074,43.033,0.917,29840,11655,7460,55313,12895,1.3508465334149998E8,18107.862378217156,7.519839857720369,10.9,80.3
11106,40.762211,-73.931528,0.857,0.014,38875,17004,9718,54109,18296,3.6462745188E7,3751.793717093248,1.5580462973741915,16.3,11.5
11212,40.662936,-73.913029,1.538,0.0,84500,31443,21125,28207,31847,8.95294172565E7,4238.078923384615,1.7599909996317329,31.2,16.9
11935,41.021223,-72.486958,10.181,1.163,3304,1316,826,86125,2069,1.6929893827000003E7,20496.239500000003,8.51168600170561,1.0,76.0
12404,41.818967,-74.236062,35.687,0.237,3385,1380,846,71615,1945,1.4144334465000002E7,16714.132307237815,6.94105111282348,1.8,69.2
12454,42.286951,-74.149495,11.135,0.044,297,111,74,73750,280,1351050.4860000003,18195.966141414145,7.556427621436801,11.9,89.3
12546,41.948,-73.523357,45.611,0.504,3039,1142,759,61389,1642,2.0666450415999997E7,27201.645825600524,11.29630964729495,3.7,72.5
12775,41.615654,-74.592331,10.483,1.086,2297,816,574,89167,1557,1.2338538973499998E7,21486.354329124944,8.922861258081001,1.1,88.3
13315,42.744144,-75.143611,49.097,0.17,1419,521,354,49861,718,5659709.874,15954.07998308668,6.625416299518287,11.6,81.5
14212,42.894207,-78.820121,1.907,0.0,10641,4649,2660,23438,6614,3806507.8799999994,1430.8835184663094,0.5942178424584156,35.3,66.7
14624,43.128271,-77.731354,27.93,0.17,36296,14023,9074,60443,14868,1.84847551052E8,20371.120900595106,8.459726702971436,3.6,87.9
15072,40.139245,-79.85633,0.068,0.0,101,102,25,,60,358013.26050000003,14178.742990099012,5.888153689392988,0.0,100.0
15463,39.965563,-79.899834,0.315,0.0,64,0,16,,31,306553.47449999995,19159.592156249997,7.956602593111858,,
15530,39.940809,-78.924027,87.516,0.033,5368,2059,1342,43568,2310,3.1809081531999998E7,23702.74331743666,9.843284105703722,8.5,84.5
15533,39.992892,-78.224303,37.248,0.28,1370,606,342,36061,728,8141749.128000001,23771.53030072993,9.871849989840511,11.6,82.0
17027,40.155886,-76.995529,0.375,0.013,2141,192,535,65673,152,9312930.872499999,17399.21695002335,7.225553319385867,0.0,29.6
17361,39.765522,-76.677039,3.131,0.0,5806,2215,1451,72689,2414,3.1342993965E7,21593.51978298312,8.967364967821077,4.3,83.7
17550,40.07589,-76.583396,0.178,0.0,790,405,197,71250,349,2773340.2735,14042.229232911393,5.831462205274933,0.0,83.7
17960,40.697241,-75.947044,51.634,0.018,3868,1563,967,55583,1768,2.12270195205E7,21951.416256980352,9.115992349335722,5.0,89.8
18814,41.784063,-76.607272,0.584,0.014,156,54,39,53571,70,1015748.341,26044.829256410256,10.815906429986821,0.0,91.0
19426,40.191299,-75.437052,33.901,0.253,38831,12079,9707,110965,12067,1.5830042878100002E8,16306.603361335017,6.771812339821698,2.8,80.5
20742,38.989629,-76.94569,0.741,0.0,7808,0,1952,,1,2.6782312391999997E7,13720.446922131146,5.6978323269616595,,17.6
21216,39.310595,-76.671717,3.334,0.056,32071,10416,8017,33857,14934,1.46574387735E8,18281.236972342616,7.591838923981722,20.5,57.4
21250,39.255611,-76.711179,0.245,0.0,3205,0,801,,1,1.3602245333E7,16976.281226833074,7.049916414152596,,56.0
22849,38.525686,-78.621982,46.987,0.738,5044,1871,1261,45982,2306,2.52268631565E7,20005.442630055513,8.307867694079597,6.1,80.0
24847,37.577109,-81.418416,1.786,0.02,293,120,73,13750,138,1091840.2315,14905.668689419796,6.190031665554848,64.4,0.0
25669,37.932136,-82.391502,20.412,0.019,887,324,221,32500,374,5595158.3285,25231.830117249152,10.478283843551086,17.0,94.1
25942,38.01592,-80.982514,12.774,0.087,162,92,40,,77,813648.3,20090.081481481484,8.343016547940467,0.0,100.0
26041,39.887229,-80.705474,61.372,2.005,16183,6628,4045,41810,7511,5.7677870252500005E7,14256.409875177656,5.920407222462797,7.4,86.7
