zid,z_id,z_pop,z_house_unit,z_land,z_water,z_lat_d,z_long_d,z_lat_r,z_long_r
z20121,20121,27988,10357,8.643,0.421,38.811059,-77.463237,0.6773807657357779,-1.3519885349026948
z20124,20124,14857,5052,21.269,0.646,38.781332,-77.391333,0.6768619317090375,-1.3507335733573407
z20129,20129,618,216,3.212,0.012,39.172018,-77.601254,0.6836806887504842,-1.3543973859764198
z20130,20130,281,161,8.298,0.019,39.036981,-77.949319,0.6813238484884685,-1.3604722662373738
z20132,20132,15900,5466,82.91,0.745,39.166243,-77.719389,0.6835798959861815,-1.3564592306882632
z20135,20135,2834,1349,44.565,0.636,39.094939,-77.864902,0.6823354064163394,-1.3589989116427177
z20136,20136,28498,8483,14.666,0.251,38.738325,-77.554552,0.6761113179576325,-1.3535822823091532
z20137,20137,1510,580,17.21,0.079,38.806731,-77.722463,0.6773052278857516,-1.3565128821094696
z20139,20139,217,100,3.273,0.007,38.658385,-77.697216,0.6747161017535882,-1.3560722388332185
z20141,20141,6131,2116,27.23,0.29,39.11239,-77.790704,0.682639983824105,-1.357703912244323
z20143,20143,1216,408,7.717,0.075,38.859556,-77.564143,0.6782271980631176,-1.3537496768377122
z20144,20144,1012,496,40.207,0.172,38.92299,-77.946943,0.6793343302208277,-1.3604307972143466
z20147,20147,54086,19719,19.874,0.317,39.041947,-77.47813,0.6814105215391225,-1.3522484667881942
z20148,20148,28310,9170,16.275,0.623,38.995234,-77.522341,0.6805952258856386,-1.3530200943037933
z20151,20151,21374,6828,15.536,0.135,38.896524,-77.445141,0.6788724113809949,-1.351672700121254
z20152,20152,24946,7876,24.894,0.305,38.919145,-77.502426,0.6792672223110885,-1.3526725119832588
z20155,20155,29411,10357,28.9,0.931,38.810114,-77.617789,0.6773642723743466,-1.354685976168237
z20158,20158,4288,1588,14.554,0.086,39.139658,-77.657989,0.6831159002045387,-1.3553875985275388
z20164,20164,37747,12565,7.411,0.049,39.013299,-77.395067,0.6809105196150114,-1.35079874395161
z20165,20165,32383,11774,9.811,0.235,39.05794,-77.392694,0.6816896520463941,-1.3507573272884603
z20166,20166,9521,3464,17.448,0.219,38.98651,-77.455909,0.6804429633616945,-1.3518606371751085
