zid,mid,ddist
z46502,m83116,45.505498
z46502,m31087,48.187336
z46502,m26794,32.120541
z47536,m28333,59.621187
z47536,m66484,39.413575
z47536,m26750,88.42547
z48041,m29872,50.706996
z48041,m23824,55.371008
z48041,m83332,89.886314
z48041,m71155,22.708632
z48047,m29872,65.009718
z48047,m23824,34.129434
z48047,m83332,67.001834
z48047,m71155,29.602745
z48047,m2602,66.827229
z48203,m29872,60.648935
z48203,m23824,12.285751
z48203,m83332,43.723405
z48203,m87868,68.571418
z48203,m71155,58.074594
z48203,m2602,40.710376
z48203,m58357,43.901117
z48229,m29872,76.3485
z48229,m23824,20.274099
z48229,m83332,56.262055
z48229,m87868,55.562391
z48229,m71155,67.666701
z48229,m2602,30.91011
z48229,m58357,30.89209
z49509,m47719,72.060417
z49509,m34300,4.544709
z49509,m39430,27.804497
z49509,m43723,51.173025
z49509,m5707,62.503728
z49509,m60841,41.626899
z50069,m23743,23.415752
z50069,m2062,61.10875
z50104,m14752,76.953715
z50104,m41590,58.768666
z50327,m23743,11.41956
z50327,m2062,39.222192
z51105,m82225,6.191964
z53215,m93916,42.045082
z53215,m73153,28.773214
z53215,m44506,37.437614
z53215,m76474,55.550585
z53215,m81118,58.486563
z53215,m42562,71.371317
z53215,m30223,69.787441
z53215,m57466,13.258818
z53569,m53200,76.519998
z53569,m24823,46.340621
z53716,m6760,48.89632
z53716,m53200,6.599583
z53716,m75718,65.090497
z53716,m42562,34.296583
z54631,m24823,71.757188
z54631,m45910,57.515982
z55329,m77338,33.664027
z56552,m29089,40.261746
z56757,m34219,59.111042
z59420,m34759,34.991897
z60083,m6760,74.17805
z60083,m75718,68.782684
z60083,m73153,29.077686
z60083,m22960,96.349196
z60083,m44506,15.89219
z60083,m76474,16.493677
z60083,m42562,75.239352
z60083,m16264,51.06677
z60083,m57466,54.535264
z60609,m56656,59.767209
z60609,m22960,70.993523
z60609,m44506,67.595865
z60609,m76474,61.297647
z60609,m16264,15.959919
z60609,m43885,53.439165
z61501,m83899,65.008476
z61501,m68509,57.541458
z62666,m83899,31.220796
z62666,m8407,52.047915
z62666,m68509,55.325648
z62666,m22717,46.260464
z63125,m1765,34.273592
z63125,m77770,11.5283
z64157,m43912,22.417209
z64157,m77743,49.30394
z64157,m48232,65.088632
z64157,m48826,31.696145
z65270,m42967,67.505766
z65270,m18937,35.278971
z66040,m43912,58.134867
z66040,m48232,80.93919
z66040,m48826,62.785831
z66527,m88084,56.959233
z66527,m77743,54.61045
z66527,m48232,83.502346
z67546,m95077,67.789733
z68047,m82225,39.115317
z68314,m49933,37.641424
z68314,m65269,81.384713
z68982,m34246,75.94523
z70528,m46045,21.630553
z70611,m46531,10.179303
z70611,m6058,68.747887
z70611,m70993,67.00432
z70640,m46531,27.845507
z70640,m46045,70.058981
z71292,m58330,12.344781
z71340,m58330,78.896743
z71340,m1279,62.881522
z72132,m50392,32.475965
z72132,m69454,22.71236
z72132,m19801,57.407242
z72132,m40213,80.765828
z73115,m65080,8.633331
z73115,m63433,20.705331
z75048,m22042,35.41008
z75048,m52687,27.62492
z75048,m81631,61.079545
z75048,m23500,37.167939
z75124,m89326,49.729579
z75686,m89326,56.921329
z75686,m51256,35.044714
z75770,m89326,32.950072
z75770,m51256,71.605573
z76050,m22042,60.251879
z76050,m23500,73.681575
z76050,m91027,56.774686
z76085,m22042,51.07112
z76085,m23500,62.042671
z77434,m40429,71.695051
z77441,m46801,81.493453
z77441,m87220,68.678294
z77441,m19755,58.537516
z77441,m40429,37.184095
z77453,m46801,54.088498
z77453,m87220,89.245059
z77453,m40429,63.682469
z77564,m87220,80.387413
z77564,m19755,64.105623
z77564,m6058,44.320543
z77564,m70993,63.734043
z77564,m40429,59.817541
z78104,m20287,74.957871
z78104,m90514,67.291393
z78655,m79201,9.800266
z78655,m78580,53.806396
z78655,m4384,48.17553
z78754,m79201,41.275824
z78754,m87058,59.782122
z78754,m4384,12.778499
z78754,m44992,58.960048
z82051,m16237,77.503629
z84024,m64945,42.211609
z84024,m72559,70.588389
z84024,m78499,56.065701
z84024,m50959,89.75769
z85641,m88732,30.511811
z85641,m81901,62.671498
z90040,m87490,50.812008
z90040,m12754,60.821055
z90040,m79309,42.983974
z90040,m82144,47.69521
z90040,m60799,68.549049
z90040,m51445,4.104157
z90040,m90541,80.953482
z90040,m47611,74.581941
z90040,m75340,55.115625
z90040,m57709,44.027877
z90814,m87490,65.509301
z90814,m79309,60.699266
z90814,m82144,64.195722
z90814,m60799,68.707498
z90814,m51445,18.867315
z90814,m47611,92.297234
z90814,m75340,56.162014
z90814,m57709,35.541811
z92372,m79309,61.930824
z92372,m51445,72.363646
z92372,m90541,22.10963
z92372,m47611,35.970557
z92372,m75340,43.626471
z95383,m54145,76.782838
z95383,m85087,83.351974
z95383,m58006,66.989407
z95383,m89083,74.94855
z95383,m56251,79.339159
z95383,m50851,93.616405
z95683,m54145,60.284812
z95683,m85087,47.515634
z95683,m28657,66.720353
z95683,m22420,39.993314
z95683,m96994,45.512333
z95683,m58006,76.379568
z95683,m89866,57.422155
z95683,m77068,22.401674
z95683,m97939,67.445493
z95683,m2683,74.417278
z95683,m88273,71.711828
z95683,m50851,35.182037
z96121,m74179,62.547224
z98225,m60490,29.677931
z98225,m55333,57.876377
z98225,m6652,3.425619
z98304,m65242,94.775884
z98304,m80389,75.593534
z98304,m97507,89.143775
z99515,m2305,5.151789
z730,m3034,49.513342
z730,m79093,67.854356
z730,m78985,39.101646
z730,m35866,40.745173
z730,m70642,3.504534
z730,m30115,51.775133
z730,m55738,45.852223
z730,m97561,22.182952
z730,m631,47.795251
z730,m43453,15.28076
z2184,m97291,44.725677
